task_uid,compute_multiplier,memory_multiplier,semantic_class,warning,requested_model,resolved_model,latency_ms,prompt_tokens,completion_tokens,total_tokens,attempts,response_sha256
pool01-task013,2.5,2.0,image_generation,High step count and multiple images increase resource demand.,deepseek-chat,deepseek-v4-flash,1196.5686669573188,174,52,226,1,95027d767c3b3ea737fe495a82c217544ce6ded932c18a40d950c0bab2abb14c
pool01-task014,2.0,1.5,image_generation,Standard text-to-image generation.,deepseek-chat,deepseek-v4-flash,952.5080830790102,174,48,222,1,478c8ed61a53b9e7f0140e6942d45717ddf313b86412c6d0fa12d1c1f96de4a0
pool01-task015,2.0,1.5,image_generation,Standard text-to-image generation.,deepseek-chat,deepseek-v4-flash,896.024708985351,174,48,222,1,478c8ed61a53b9e7f0140e6942d45717ddf313b86412c6d0fa12d1c1f96de4a0
pool01-task016,2.5,2.0,image_generation,High step count and multiple images increase resource demand.,deepseek-chat,deepseek-v4-flash,1002.9238329734653,174,52,226,1,95027d767c3b3ea737fe495a82c217544ce6ded932c18a40d950c0bab2abb14c
pool01-task017,2.5,2.0,image_generation,High step count and multiple images increase resource demand.,deepseek-chat,deepseek-v4-flash,1955.2576669957489,174,52,226,1,95027d767c3b3ea737fe495a82c217544ce6ded932c18a40d950c0bab2abb14c
pool01-task018,1.5,1.5,IMG_2_IMG,No LoRA; moderate steps.,deepseek-chat,deepseek-v4-flash,955.324332928285,173,51,224,1,925b249efb366be7d894d78a4567dc8f5737184e2f57224dc2f798fc28583215
pool01-task019,2.0,1.5,image_generation,High step count and multiple images increase resource demand.,deepseek-chat,deepseek-v4-flash,1220.3435419360176,174,52,226,1,18f134c215e42cae2448dc63935c1edeec087f665dedd6e54fdf3aa90981f6ce
pool01-task020,2.0,1.5,image_generation,Short prompt may reduce quality.,deepseek-chat,deepseek-v4-flash,1434.4848749460652,174,48,222,1,dfdf68773a34ba0dd9801606246b84409a4459e36e6e31abed14dd94e975bc27
pool01-task021,2.5,2.0,image_generation,High step count and multiple images increase resource demand.,deepseek-chat,deepseek-v4-flash,1345.961416955106,174,52,226,1,95027d767c3b3ea737fe495a82c217544ce6ded932c18a40d950c0bab2abb14c
pool01-task022,2.5,2.0,image_generation,High step count and multiple images increase resource demand.,deepseek-chat,deepseek-v4-flash,1046.840374940075,174,52,226,1,95027d767c3b3ea737fe495a82c217544ce6ded932c18a40d950c0bab2abb14c
pool01-task023,2.5,2.0,image_generation,High step count and multiple images increase resource demand.,deepseek-chat,deepseek-v4-flash,1132.9165830975398,174,52,226,1,95027d767c3b3ea737fe495a82c217544ce6ded932c18a40d950c0bab2abb14c
pool01-task024,2.5,2.0,image_generation,High step count and multiple images increase resource demand.,deepseek-chat,deepseek-v4-flash,1084.7769159590825,174,52,226,1,95027d767c3b3ea737fe495a82c217544ce6ded932c18a40d950c0bab2abb14c
pool01-task025,2.0,1.5,TXT_2_IMG,Standard text-to-image generation.,deepseek-chat,deepseek-v4-flash,917.4022090155631,174,51,225,1,a4d59208a3b8e165c614ed722f6e7cd9c624f99b278450218d40f065255a386c
pool01-task026,2.5,2.0,image_generation,High resource demand due to 4 images and 30 steps.,deepseek-chat,deepseek-v4-flash,1263.2336670067161,174,55,229,1,7096b5db4bc5c65db42f65552313a8ed3fb968f990708fb37f0ee8290868adc2
pool01-task027,1.5,1.5,image_editing,IMG_2_IMG with 30 steps; moderate resource demand.,deepseek-chat,deepseek-v4-flash,1175.7182909641415,173,57,230,1,17c6264b39e76891ec0d4f12e93077ec59b0208f2d3d3bb2824d5008f8325ba4
pool01-task028,1.5,1.5,image_editing,IMG_2_IMG with 30 steps; moderate resource demand.,deepseek-chat,deepseek-v4-flash,1320.7702080253512,173,57,230,1,17c6264b39e76891ec0d4f12e93077ec59b0208f2d3d3bb2824d5008f8325ba4
pool01-task029,2.5,2.0,image_generation,High step count and multiple images increase resource demand.,deepseek-chat,deepseek-v4-flash,1342.2649579588324,174,52,226,1,95027d767c3b3ea737fe495a82c217544ce6ded932c18a40d950c0bab2abb14c
pool01-task030,2.5,2.0,image_editing,Inpainting with 4 images and 30 steps is compute-heavy.,deepseek-chat,deepseek-v4-flash,985.0524580106139,172,58,230,1,9b4d5e771729daecd932bc69fb2be6b7c1a8ae6d06035b89779cb4068b1a257d
pool01-task031,2.5,2.0,image_generation,High step count and multiple images increase resource demand.,deepseek-chat,deepseek-v4-flash,1079.845792031847,174,52,226,1,95027d767c3b3ea737fe495a82c217544ce6ded932c18a40d950c0bab2abb14c
pool01-task032,2.5,2.0,image_generation,High step count and multiple images increase resource demand.,deepseek-chat,deepseek-v4-flash,1332.3379580397159,174,52,226,1,95027d767c3b3ea737fe495a82c217544ce6ded932c18a40d950c0bab2abb14c
pool01-task033,2.0,1.5,image_generation,Standard text-to-image task.,deepseek-chat,deepseek-v4-flash,1063.2932080188766,174,48,222,1,66069ac9400131202fff9f131eca45f035e5b87c99a75b401f68a5283c4b4895
pool01-task034,2.5,2.0,image_generation,High step count and multiple images increase resource demand.,deepseek-chat,deepseek-v4-flash,1064.9480409920216,174,52,226,1,95027d767c3b3ea737fe495a82c217544ce6ded932c18a40d950c0bab2abb14c
pool01-task035,1.5,1.5,image_generation,Standard text-to-image generation.,deepseek-chat,deepseek-v4-flash,1064.3215420423076,174,48,222,1,3b460fb4e0edadfae6ef85b942605203ac608874823673792bf90324b12736cc
pool01-task036,1.5,1.5,image_editing,IMG_2_IMG with 30 steps; moderate resource demand.,deepseek-chat,deepseek-v4-flash,1077.7807920239866,173,57,230,1,17c6264b39e76891ec0d4f12e93077ec59b0208f2d3d3bb2824d5008f8325ba4
pool01-task037,2.5,2.0,image_generation,High step count and multiple images increase resource demand.,deepseek-chat,deepseek-v4-flash,1040.075583034195,174,52,226,1,95027d767c3b3ea737fe495a82c217544ce6ded932c18a40d950c0bab2abb14c
pool01-task038,1.5,1.5,image_editing,IMG_2_IMG with 30 steps; moderate resource demand.,deepseek-chat,deepseek-v4-flash,1334.214458009228,173,57,230,1,17c6264b39e76891ec0d4f12e93077ec59b0208f2d3d3bb2824d5008f8325ba4
pool01-task039,1.5,1.5,image_editing,IMG_2_IMG with 30 steps; moderate resource demand.,deepseek-chat,deepseek-v4-flash,1118.5175409773365,173,57,230,1,17c6264b39e76891ec0d4f12e93077ec59b0208f2d3d3bb2824d5008f8325ba4
pool01-task040,2.5,2.0,image_editing,LoRA increases resource demand.,deepseek-chat,deepseek-v4-flash,1050.8245420642197,173,49,222,1,5ca9db9469f028e6e2c8effd1d78f63c4fdabec6f411f4e94faa0a6d86a811e8
pool01-task041,1.5,1.5,image_editing,IMG_2_IMG with 30 steps; moderate resource demand.,deepseek-chat,deepseek-v4-flash,1137.7676660194993,173,57,230,1,17c6264b39e76891ec0d4f12e93077ec59b0208f2d3d3bb2824d5008f8325ba4
pool01-task042,1.5,1.5,image_editing,IMG_2_IMG with 30 steps; moderate resource demand.,deepseek-chat,deepseek-v4-flash,1144.0921659814194,173,57,230,1,17c6264b39e76891ec0d4f12e93077ec59b0208f2d3d3bb2824d5008f8325ba4
pool01-task043,2.0,1.5,image_generation,Standard text-to-image generation.,deepseek-chat,deepseek-v4-flash,978.9487909292802,174,48,222,1,478c8ed61a53b9e7f0140e6942d45717ddf313b86412c6d0fa12d1c1f96de4a0
pool01-task044,1.5,1.2,image_generation,Standard text-to-image generation.,deepseek-chat,deepseek-v4-flash,945.3009590506554,174,48,222,1,89460b8f9f1e83c0741634b57b8cf754d68618d3247c8da9e8c127eb09a56e63
pool01-task045,1.5,1.5,image_editing,IMG_2_IMG with 30 steps; moderate resource demand.,deepseek-chat,deepseek-v4-flash,1403.0774170532823,173,57,230,1,17c6264b39e76891ec0d4f12e93077ec59b0208f2d3d3bb2824d5008f8325ba4
pool01-task046,2.0,1.5,image_generation,Standard text-to-image task.,deepseek-chat,deepseek-v4-flash,1144.6268330328166,174,48,222,1,66069ac9400131202fff9f131eca45f035e5b87c99a75b401f68a5283c4b4895
pool01-task047,2.5,2.0,image_generation,High step count and multiple images increase resource demand.,deepseek-chat,deepseek-v4-flash,1222.0884999260306,174,52,226,1,95027d767c3b3ea737fe495a82c217544ce6ded932c18a40d950c0bab2abb14c
pool01-task048,2.0,1.5,image_generation,Standard text-to-image generation.,deepseek-chat,deepseek-v4-flash,1101.4138329774141,174,48,222,1,478c8ed61a53b9e7f0140e6942d45717ddf313b86412c6d0fa12d1c1f96de4a0
pool01-task049,2.0,1.5,image_generation,Standard text-to-image generation.,deepseek-chat,deepseek-v4-flash,892.8300420520827,174,48,222,1,478c8ed61a53b9e7f0140e6942d45717ddf313b86412c6d0fa12d1c1f96de4a0
pool01-task050,2.5,2.0,INPAINTING,High step count increases compute demand.,deepseek-chat,deepseek-v4-flash,1071.3469580514356,172,50,222,1,ee960732cb2b15993cba8a1ae254328a9c8f8f89660be335e554779d882e3790
pool01-task051,2.5,2.0,image_generation,High step count and multiple images increase resource demand.,deepseek-chat,deepseek-v4-flash,1064.9499170249328,174,52,226,1,95027d767c3b3ea737fe495a82c217544ce6ded932c18a40d950c0bab2abb14c
pool01-task052,2.0,1.5,image_generation,Moderate compute demand due to 4 images and 30 steps.,deepseek-chat,deepseek-v4-flash,1209.1982089914382,174,56,230,1,513bf8d62f9d65e07c79ac621094acbe920d698f146b014f43f63fb189341f82
pool01-task053,2.0,1.5,image_generation,Standard text-to-image generation.,deepseek-chat,deepseek-v4-flash,1028.9410839322954,174,48,222,1,478c8ed61a53b9e7f0140e6942d45717ddf313b86412c6d0fa12d1c1f96de4a0
pool01-task054,2.0,1.5,image_generation,Standard text-to-image generation.,deepseek-chat,deepseek-v4-flash,1112.429750035517,174,48,222,1,478c8ed61a53b9e7f0140e6942d45717ddf313b86412c6d0fa12d1c1f96de4a0
pool01-task055,2.0,1.5,image_generation,Standard text-to-image generation.,deepseek-chat,deepseek-v4-flash,1099.8452920466661,174,48,222,1,478c8ed61a53b9e7f0140e6942d45717ddf313b86412c6d0fa12d1c1f96de4a0
pool01-task056,1.5,1.5,image_editing,IMG_2_IMG with 30 steps; moderate resource demand.,deepseek-chat,deepseek-v4-flash,1080.5672920541838,173,57,230,1,17c6264b39e76891ec0d4f12e93077ec59b0208f2d3d3bb2824d5008f8325ba4
pool01-task057,2.5,2.0,image_generation,High step count and multiple images increase resource demand.,deepseek-chat,deepseek-v4-flash,1207.873958046548,174,52,226,1,95027d767c3b3ea737fe495a82c217544ce6ded932c18a40d950c0bab2abb14c
pool01-task058,1.5,1.5,image_editing,Low prompt length may affect quality.,deepseek-chat,deepseek-v4-flash,1033.5797909647226,173,50,223,1,acc8a86fb561ad42b8ae521dc601f87a4ab6e8a3438551bf2523834cf73a314f
pool01-task059,1.0,1.0,TXT_2_IMG,Baseline text-to-image task.,deepseek-chat,deepseek-v4-flash,979.5822500018403,174,52,226,1,f169ec5db12b92ab821838f26f69d215859ed6fbf747c547d7ba144a20fa4979
pool01-task060,2.5,2.0,image_generation,High step count and multiple images increase resource demand.,deepseek-chat,deepseek-v4-flash,1049.3336250074208,174,52,226,1,95027d767c3b3ea737fe495a82c217544ce6ded932c18a40d950c0bab2abb14c
pool01-task061,3.5,2.5,TXT_2_IMG,High step count and multiple images increase resource demand.,deepseek-chat,deepseek-v4-flash,975.1369169680402,174,55,229,1,19a933a934e3ecf82599a73211105e0ed54442968f35115ff2f27ef34cca2e1a
pool01-task062,2.0,1.5,image_editing,IMG_2_IMG with 2 images and 30 steps,deepseek-chat,deepseek-v4-flash,1300.249042105861,173,57,230,1,a76bd255f5d712e1475bf8c2c508db921adf86c4db74abe74c159bd326c6c33e
pool01-task063,2.5,2.0,image_generation,High step count and multiple images increase resource demand.,deepseek-chat,deepseek-v4-flash,1028.1210839748383,174,52,226,1,95027d767c3b3ea737fe495a82c217544ce6ded932c18a40d950c0bab2abb14c
pool01-task064,2.0,1.5,TXT_2_IMG,Standard text-to-image generation.,deepseek-chat,deepseek-v4-flash,906.3062090426683,174,51,225,1,a4d59208a3b8e165c614ed722f6e7cd9c624f99b278450218d40f065255a386c
pool01-task065,2.0,1.5,image_generation,Standard text-to-image generation.,deepseek-chat,deepseek-v4-flash,942.3892920603976,174,48,222,1,478c8ed61a53b9e7f0140e6942d45717ddf313b86412c6d0fa12d1c1f96de4a0
pool01-task066,2.0,1.5,image_generation,Standard text-to-image task.,deepseek-chat,deepseek-v4-flash,927.4515840224922,174,48,222,1,66069ac9400131202fff9f131eca45f035e5b87c99a75b401f68a5283c4b4895
pool01-task067,2.5,2.0,image_generation,High step count and multiple images increase resource demand.,deepseek-chat,deepseek-v4-flash,1060.870417044498,174,52,226,1,95027d767c3b3ea737fe495a82c217544ce6ded932c18a40d950c0bab2abb14c
pool01-task068,2.0,1.5,image_generation,Standard text-to-image generation.,deepseek-chat,deepseek-v4-flash,980.1632920280099,174,48,222,1,478c8ed61a53b9e7f0140e6942d45717ddf313b86412c6d0fa12d1c1f96de4a0
pool01-task069,2.5,2.0,image_generation,High step count and multiple images increase resource demand.,deepseek-chat,deepseek-v4-flash,1013.6482500238344,174,52,226,1,95027d767c3b3ea737fe495a82c217544ce6ded932c18a40d950c0bab2abb14c
pool01-task070,2.0,1.5,TXT_2_IMG,Standard text-to-image generation.,deepseek-chat,deepseek-v4-flash,1064.2255420098081,174,51,225,1,a4d59208a3b8e165c614ed722f6e7cd9c624f99b278450218d40f065255a386c
pool01-task071,2.5,2.0,image_generation,High prompt length and steps increase compute demand.,deepseek-chat,deepseek-v4-flash,1081.0720829758793,174,51,225,1,d3ef87f06fd77dc437e37e26cffe20e4c7975d4029d413bc6474784c9defde99
pool01-task072,2.0,1.5,image_generation,"Moderate load: 4 images, 30 steps.",deepseek-chat,deepseek-v4-flash,1298.4392079524696,174,54,228,1,33ea243b2478a47df37304610f715cdc90a3ebf13e0a4215121ec6cf86d065a7
pool01-task073,2.0,1.5,image_generation,IMG_2_IMG with 4 images and 30 steps is compute-heavy.,deepseek-chat,deepseek-v4-flash,1202.4704589275643,173,59,232,1,db15b66f81b78f90d203fb171c3b1ba3c2d5f05c3a4422a3da48fa7db2685443
pool01-task074,2.0,1.5,image_generation,IMG_2_IMG with 4 images and 30 steps,deepseek-chat,deepseek-v4-flash,1038.9500421006233,173,56,229,1,ebf253df8cd22d4493fb233e7b2b17d25f37d63d108f024ae2049aebcb0b4cb9
pool01-task075,2.0,1.5,image_generation,Standard text-to-image generation.,deepseek-chat,deepseek-v4-flash,989.3751670606434,174,48,222,1,478c8ed61a53b9e7f0140e6942d45717ddf313b86412c6d0fa12d1c1f96de4a0
pool01-task076,2.5,2.0,image_editing,IMG_2_IMG with 8 images and LoRA increases resource demand.,deepseek-chat,deepseek-v4-flash,1201.7514170147479,173,59,232,1,77cc6f2871cbf6495116795f73938122223b29cf5f1c2ff7f63d0c3cccbe4e3d
pool01-task077,2.0,1.5,image_generation,Moderate resource demand due to 4 images and 30 steps.,deepseek-chat,deepseek-v4-flash,1133.4811669075862,174,56,230,1,6d2930c84890fa52a3d84a7a2020bf166d2d9a9321f68e67bbccc4a6e02e9695
pool01-task078,2.0,1.5,image_generation,Standard text-to-image task.,deepseek-chat,deepseek-v4-flash,1088.2641249336302,174,48,222,1,66069ac9400131202fff9f131eca45f035e5b87c99a75b401f68a5283c4b4895
pool01-task079,2.0,1.5,image_generation,Standard text-to-image generation.,deepseek-chat,deepseek-v4-flash,1116.9239160371944,174,48,222,1,478c8ed61a53b9e7f0140e6942d45717ddf313b86412c6d0fa12d1c1f96de4a0
pool01-task080,2.5,2.0,image_generation,High step count and multiple images increase resource demand.,deepseek-chat,deepseek-v4-flash,1222.136291093193,174,52,226,1,95027d767c3b3ea737fe495a82c217544ce6ded932c18a40d950c0bab2abb14c
pool01-task081,1.5,1.5,image_generation,Standard text-to-image generation.,deepseek-chat,deepseek-v4-flash,1113.7233329936862,174,48,222,1,3b460fb4e0edadfae6ef85b942605203ac608874823673792bf90324b12736cc
pool01-task082,2.0,1.5,TXT_2_IMG,Standard text-to-image generation.,deepseek-chat,deepseek-v4-flash,1041.8212920194492,174,51,225,1,a4d59208a3b8e165c614ed722f6e7cd9c624f99b278450218d40f065255a386c
pool01-task083,2.0,1.5,image_generation,Standard text-to-image generation.,deepseek-chat,deepseek-v4-flash,964.0910410089418,174,48,222,1,478c8ed61a53b9e7f0140e6942d45717ddf313b86412c6d0fa12d1c1f96de4a0
pool01-task084,2.5,2.0,image_generation,High step count and multiple images increase resource demand.,deepseek-chat,deepseek-v4-flash,964.5788329653442,174,52,226,1,95027d767c3b3ea737fe495a82c217544ce6ded932c18a40d950c0bab2abb14c
pool01-task085,2.5,2.0,image_generation,High step count and multiple images increase resource demand.,deepseek-chat,deepseek-v4-flash,1075.2507499419153,174,52,226,1,95027d767c3b3ea737fe495a82c217544ce6ded932c18a40d950c0bab2abb14c
pool01-task086,2.0,1.5,image_generation,High step count and multiple images increase compute demand.,deepseek-chat,deepseek-v4-flash,1097.277040942572,174,52,226,1,05fd20fe39bd19eda98fd52a17c7ad12fe04652345abd5e0b2696ea04352e27a
pool01-task087,2.5,2.0,image_generation,High step count and multiple images increase resource demand.,deepseek-chat,deepseek-v4-flash,1118.4755419380963,174,52,226,1,95027d767c3b3ea737fe495a82c217544ce6ded932c18a40d950c0bab2abb14c
pool01-task088,1.5,1.5,image_editing,IMG_2_IMG with 30 steps; moderate resource demand.,deepseek-chat,deepseek-v4-flash,1144.8833339381963,173,57,230,1,17c6264b39e76891ec0d4f12e93077ec59b0208f2d3d3bb2824d5008f8325ba4
pool01-task089,1.5,1.2,image_generation,Standard text-to-image task.,deepseek-chat,deepseek-v4-flash,1107.8817499801517,174,48,222,1,9a792016e1746d976be521c0840021b2659b44e3aff7bc0bfb0e162c868bca95
pool01-task090,2.0,1.5,image_generation,Standard text-to-image generation.,deepseek-chat,deepseek-v4-flash,951.2772910529748,174,48,222,1,478c8ed61a53b9e7f0140e6942d45717ddf313b86412c6d0fa12d1c1f96de4a0
pool01-task091,1.5,1.2,image_generation,Standard text-to-image generation.,deepseek-chat,deepseek-v4-flash,1231.239749933593,174,48,222,1,89460b8f9f1e83c0741634b57b8cf754d68618d3247c8da9e8c127eb09a56e63
pool01-task092,2.0,1.5,image_editing,Low prompt length may affect quality.,deepseek-chat,deepseek-v4-flash,932.086875080131,173,50,223,1,e8179098bee2b9c230cf06a40ad79f83cfca3cfbe9a8193b2bcb4e34b7401774
pool01-task093,2.0,1.5,image_generation,Standard text-to-image generation.,deepseek-chat,deepseek-v4-flash,834.6726250601932,174,48,222,1,478c8ed61a53b9e7f0140e6942d45717ddf313b86412c6d0fa12d1c1f96de4a0
pool01-task094,1.5,1.2,image_generation,Standard text-to-image generation.,deepseek-chat,deepseek-v4-flash,1038.8333750888705,174,48,222,1,89460b8f9f1e83c0741634b57b8cf754d68618d3247c8da9e8c127eb09a56e63
pool01-task095,2.0,1.5,image_generation,Standard text-to-image generation.,deepseek-chat,deepseek-v4-flash,933.5114170098677,174,48,222,1,478c8ed61a53b9e7f0140e6942d45717ddf313b86412c6d0fa12d1c1f96de4a0
pool01-task096,2.5,2.0,image_generation,High step count and multiple images increase resource demand.,deepseek-chat,deepseek-v4-flash,975.426375051029,174,52,226,1,95027d767c3b3ea737fe495a82c217544ce6ded932c18a40d950c0bab2abb14c
pool01-task097,1.5,1.5,image_editing,IMG_2_IMG with 30 steps; moderate resource demand.,deepseek-chat,deepseek-v4-flash,1279.2024159571156,173,57,230,1,17c6264b39e76891ec0d4f12e93077ec59b0208f2d3d3bb2824d5008f8325ba4
pool01-task098,1.5,1.5,image_editing,IMG_2_IMG with 30 steps; moderate resource demand.,deepseek-chat,deepseek-v4-flash,1257.0486249169335,173,57,230,1,17c6264b39e76891ec0d4f12e93077ec59b0208f2d3d3bb2824d5008f8325ba4
pool01-task099,2.0,1.5,image_generation,Standard text-to-image generation.,deepseek-chat,deepseek-v4-flash,994.689958053641,174,48,222,1,478c8ed61a53b9e7f0140e6942d45717ddf313b86412c6d0fa12d1c1f96de4a0
pool02-task000,2.0,1.5,image_generation,Standard text-to-image generation.,deepseek-chat,deepseek-v4-flash,768.0274170124903,174,48,222,1,478c8ed61a53b9e7f0140e6942d45717ddf313b86412c6d0fa12d1c1f96de4a0
pool02-task001,2.0,1.5,image_generation,Standard text-to-image generation.,deepseek-chat,deepseek-v4-flash,1009.4858750235289,174,48,222,1,478c8ed61a53b9e7f0140e6942d45717ddf313b86412c6d0fa12d1c1f96de4a0
pool02-task002,1.5,1.5,inpainting,Short prompt may reduce quality.,deepseek-chat,deepseek-v4-flash,1014.7684160619974,172,48,220,1,80b3710ed73748512c386bb8e6b5eecf51b1458c1e602583de6fb31fca76b713
pool02-task003,2.0,1.5,image_generation,High step count and multiple images increase resource demand.,deepseek-chat,deepseek-v4-flash,1110.5969590134919,174,52,226,1,18f134c215e42cae2448dc63935c1edeec087f665dedd6e54fdf3aa90981f6ce
pool02-task004,1.5,1.2,TXT_2_IMG,Standard text-to-image task.,deepseek-chat,deepseek-v4-flash,1210.8443750767037,174,51,225,1,c18af240c7f16e79455f80eabc999d0fe162bf3188bbe5cc702688b541ef9e64
pool02-task005,2.5,2.0,image_generation,High step count and multiple images increase resource demand.,deepseek-chat,deepseek-v4-flash,1063.9622079906985,174,52,226,1,95027d767c3b3ea737fe495a82c217544ce6ded932c18a40d950c0bab2abb14c
pool02-task006,1.0,1.0,TXT_2_IMG,Minimal prompt; consider adding detail.,deepseek-chat,deepseek-v4-flash,947.1648329636082,174,53,227,1,109c23ae5d1b453d17e714f585bdaa438802dc51bf7e01dffa3619436e754839
pool02-task007,2.5,2.0,image_generation,High step count and multiple images increase resource demand.,deepseek-chat,deepseek-v4-flash,1059.0417090570554,174,52,226,1,95027d767c3b3ea737fe495a82c217544ce6ded932c18a40d950c0bab2abb14c
pool02-task008,2.0,1.5,image_generation,Standard text-to-image generation.,deepseek-chat,deepseek-v4-flash,1061.0064999200404,174,48,222,1,478c8ed61a53b9e7f0140e6942d45717ddf313b86412c6d0fa12d1c1f96de4a0
pool02-task009,2.5,2.0,image_generation,High step count and multiple images increase resource demand.,deepseek-chat,deepseek-v4-flash,1250.4446249222383,174,52,226,1,95027d767c3b3ea737fe495a82c217544ce6ded932c18a40d950c0bab2abb14c
pool02-task010,2.5,2.0,image_generation,High step count and multiple images increase resource demand.,deepseek-chat,deepseek-v4-flash,982.9744159942493,174,52,226,1,95027d767c3b3ea737fe495a82c217544ce6ded932c18a40d950c0bab2abb14c
pool02-task011,2.0,1.5,image_generation,Standard text-to-image generation.,deepseek-chat,deepseek-v4-flash,922.7190830279142,174,48,222,1,478c8ed61a53b9e7f0140e6942d45717ddf313b86412c6d0fa12d1c1f96de4a0
pool02-task012,2.0,1.5,image_generation,Standard text-to-image generation.,deepseek-chat,deepseek-v4-flash,934.046334004961,174,48,222,1,478c8ed61a53b9e7f0140e6942d45717ddf313b86412c6d0fa12d1c1f96de4a0
pool02-task013,2.0,1.5,image_generation,Standard text-to-image generation.,deepseek-chat,deepseek-v4-flash,880.379999987781,174,48,222,1,478c8ed61a53b9e7f0140e6942d45717ddf313b86412c6d0fa12d1c1f96de4a0
pool02-task014,2.0,1.5,image_editing,High step count and multiple images increase compute demand.,deepseek-chat,deepseek-v4-flash,1090.3874170035124,173,53,226,1,8128ad793803a5e950ff6eb092b6f76deb5b9e49d4ef6ac72c5be95f2513d124
pool02-task015,2.0,1.5,image_generation,Standard text-to-image generation.,deepseek-chat,deepseek-v4-flash,1044.1582079511136,174,48,222,1,478c8ed61a53b9e7f0140e6942d45717ddf313b86412c6d0fa12d1c1f96de4a0
pool02-task016,2.5,2.0,image_generation,High step count and multiple images increase resource demand.,deepseek-chat,deepseek-v4-flash,974.1702500032261,174,52,226,1,95027d767c3b3ea737fe495a82c217544ce6ded932c18a40d950c0bab2abb14c
pool02-task017,2.5,2.0,image_editing,IMG_2_IMG with 4 images and 30 steps is compute-heavy.,deepseek-chat,deepseek-v4-flash,1049.6962500037625,173,60,233,1,bb604e8b3852b2b142ba7dd5c6a2bb12c33b7bfdd04130f12ca36918a3182898
pool02-task018,1.5,1.2,image_generation,Standard text-to-image task.,deepseek-chat,deepseek-v4-flash,831.1750419670716,174,48,222,1,9a792016e1746d976be521c0840021b2659b44e3aff7bc0bfb0e162c868bca95
pool02-task019,2.0,1.5,image_generation,Standard text-to-image generation.,deepseek-chat,deepseek-v4-flash,999.6594999684021,174,48,222,1,478c8ed61a53b9e7f0140e6942d45717ddf313b86412c6d0fa12d1c1f96de4a0
